sold_in_30,asking_price,bedrooms,bathrooms,heating,sqft_living,sqft_lot,floors,view,condition,grade,sqft_above,yr_built,yr_renovated
1,221900.0,3,1.0,electric,1180,5650,1.0,poor,average,7,1180,1955,0.0
0,538000.0,3,2.25,gas,2570,7242,2.0,poor,average,7,2170,1951,1991.0
0,510000.0,3,2.0,gas,1680,8080,1.0,poor,average,8,1680,1987,0.0
1,291850.0,3,1.5,gas,1060,9711,1.0,poor,average,7,1060,1963,0.0
1,468000.0,2,1.0,gas,1160,6000,1.0,poor,good,7,860,1942,0.0
1,310000.0,3,1.0,electric,1430,19901,1.5,poor,good,7,1430,1927,0.0
0,530000.0,5,2.0,gas,1810,4850,1.5,poor,average,7,1810,1900,0.0
0,650000.0,4,3.0,gas,2950,5000,2.0,good,average,9,1980,1979,0.0
1,395000.0,3,2.0,gas,1890,14040,2.0,poor,average,7,1890,1994,0.0
1,485000.0,4,1.0,oil,1600,4300,1.5,poor,good,7,1600,1916,0.0
0,2000000.0,3,2.75,oil,3050,44867,1.0,very good,average,9,2330,1968,0.0
1,285000.0,5,2.5,electric,2270,6300,2.0,poor,average,8,2270,1995,0.0
1,233000.0,3,2.0,oil,1710,4697,1.5,poor,very good,6,1710,1941,0.0
1,937000.0,3,1.75,oil,2450,2691,2.0,poor,average,8,1750,1915,0.0
1,438000.0,3,1.75,gas,1520,6380,1.0,poor,average,7,790,1948,0.0
1,719000.0,4,2.5,oil,2570,7173,2.0,poor,average,8,2570,2005,0.0
1,280000.0,2,1.5,oil,1190,1265,3.0,poor,average,7,1190,2005,0.0
1,535000.0,3,1.0,oil,1090,3000,1.5,poor,good,8,1090,1929,0.0
1,322500.0,4,2.75,oil,2060,6659,1.0,poor,average,7,1280,1981,0.0
1,605000.0,4,2.5,oil,2620,7553,2.0,poor,average,8,2620,1996,0.0
0,625000.0,4,2.5,gas,2570,5520,2.0,poor,average,9,2570,2000,0.0
0,775000.0,4,2.25,gas,4220,24186,1.0,poor,average,8,2600,1984,0.0
1,309000.0,3,1.0,oil,1280,9656,1.0,poor,good,6,920,1959,0.0
1,210490.0,3,1.0,gas,990,8528,1.0,poor,average,6,990,1966,0.0
1,450000.0,3,1.75,electric,1250,5963,1.0,poor,good,7,1250,1953,0.0
0,1350000.0,3,2.5,electric,2753,65005,1.0,average,very good,9,2165,1953,0.0
1,228000.0,3,1.0,gas,1190,9199,1.0,poor,average,7,1190,1955,0.0
0,345000.0,5,2.5,gas,3150,9134,1.0,poor,good,8,1640,1966,0.0
1,600000.0,3,1.75,oil,1410,4080,1.0,poor,good,7,1000,1950,0.0
1,301000.0,3,2.5,oil,2420,4750,2.0,poor,average,8,2420,2003,0.0
0,951000.0,5,3.25,oil,3250,14342,2.0,very good,good,8,3250,1968,0.0
1,430000.0,4,3.0,gas,1850,9976,2.0,poor,average,8,1850,1991,0.0
0,650000.0,3,2.25,electric,2150,21235,1.0,good,good,8,1590,1959,0.0
1,289000.0,3,1.75,other,1260,8400,1.0,poor,average,7,1260,1954,0.0
1,549000.0,3,1.75,oil,1540,1044,3.0,poor,average,8,1540,2014,0.0
1,425000.0,3,2.25,gas,1660,6000,1.0,poor,average,7,1110,1979,0.0
1,287000.0,4,2.5,gas,2240,4648,2.0,poor,average,7,2240,2005,0.0
1,204000.0,3,1.0,oil,1000,12070,1.0,poor,good,7,1000,1968,0.0
0,1330000.0,5,2.25,electric,3200,20158,1.0,poor,average,8,1600,1965,0.0
0,325000.0,3,2.0,gas,1260,5612,1.0,poor,good,7,1260,1972,0.0
0,571000.0,4,2.0,gas,2750,7807,1.5,poor,very good,7,2250,1916,0.0
1,349000.0,3,1.75,oil,1790,50529,1.0,poor,very good,7,1090,1965,0.0
0,832500.0,4,4.0,electric,3430,35102,2.0,poor,good,10,2390,1986,0.0
1,480000.0,3,1.0,electric,1040,5060,1.0,poor,average,7,1040,1941,0.0
1,410000.0,3,1.0,gas,1410,5060,1.0,poor,good,7,910,1956,0.0
0,720000.0,4,2.5,oil,3450,39683,2.0,poor,average,10,3450,2002,0.0
1,355000.0,2,1.0,electric,2020,6720,1.0,poor,average,7,1010,1948,0.0
1,356000.0,3,1.5,gas,1680,8712,1.0,poor,average,8,1680,1964,0.0
1,315000.0,3,1.0,electric,960,6634,1.0,poor,average,6,960,1952,0.0
0,940000.0,3,1.5,gas,2140,3600,2.0,poor,average,9,1900,1925,0.0
1,305000.0,5,2.25,electric,2660,8400,1.5,poor,very good,7,2660,1961,0.0
1,461000.0,3,3.25,oil,2770,6278,2.0,poor,average,9,1980,2006,0.0
1,335000.0,2,1.75,oil,1030,1066,2.0,poor,average,7,765,2006,0.0
0,1100000.0,5,2.75,other,3520,6353,2.0,poor,good,10,3520,2001,0.0
0,905000.0,4,2.5,oil,3300,10250,1.0,poor,average,7,2390,1946,1991.0
1,247500.0,3,1.75,oil,1960,15681,1.0,poor,average,7,1960,1967,0.0
1,314000.0,3,1.75,oil,1810,41800,1.0,poor,very good,7,1210,1980,0.0
1,437500.0,3,2.5,oil,2320,36847,2.0,average,average,9,2320,1992,0.0
0,850830.0,3,2.5,oil,2070,13241,1.5,poor,very good,9,1270,1910,0.0
1,555000.0,3,2.0,oil,1980,3478,1.5,poor,good,7,1440,1929,0.0
1,290000.0,3,1.0,oil,1210,33919,1.0,poor,average,7,1210,1954,0.0
1,375000.0,3,2.5,oil,2340,10005,1.0,poor,good,8,1460,1978,0.0
1,460000.0,3,1.0,oil,1670,4005,1.5,poor,good,7,1170,1939,0.0
0,680000.0,4,2.5,oil,3140,28037,2.0,poor,good,10,3140,1991,0.0
0,470000.0,5,1.75,gas,2030,12342,2.0,poor,good,7,2030,1942,0.0
0,570000.0,3,1.75,oil,1260,3328,1.0,poor,very good,6,700,1905,0.0
0,329950.0,3,1.75,gas,2080,5969,1.0,average,average,7,1080,1971,0.0
0,740500.0,3,3.5,oil,4380,6350,2.0,poor,average,8,2780,1900,0.0
1,518500.0,3,3.5,oil,1590,1102,3.0,poor,average,8,1590,2010,0.0
1,171800.0,4,2.0,oil,1570,9600,1.0,poor,average,6,1570,1950,0.0
1,535000.0,4,1.0,electric,1610,2982,1.5,poor,good,7,1610,1925,0.0
0,445000.0,3,2.25,other,2100,8201,1.0,average,average,8,1620,1967,0.0
1,260000.0,4,2.25,oil,2160,8811,1.0,poor,average,8,1360,1978,0.0
1,430000.0,4,2.5,oil,2070,4310,2.0,poor,average,7,2070,2004,0.0
0,212000.0,3,1.75,gas,1060,7875,1.0,poor,good,7,1060,1986,0.0
1,660500.0,4,2.25,electric,2010,9603,1.0,poor,average,8,1440,1986,0.0
0,675000.0,4,3.5,gas,2140,2278,3.0,poor,average,9,2140,2005,0.0
1,199000.0,3,1.75,oil,1320,17390,1.0,poor,good,7,1320,1956,0.0
1,220000.0,4,1.75,oil,2020,7840,1.0,poor,average,7,1010,1968,0.0
0,452000.0,4,2.25,oil,2590,10002,1.0,poor,good,8,1340,1968,0.0
0,527700.0,5,2.5,oil,2820,9375,1.0,poor,good,8,1550,1968,0.0
1,205000.0,3,1.0,oil,1610,8579,1.0,poor,good,7,1010,1962,0.0
1,420000.0,3,1.0,oil,1060,8097,1.0,poor,good,7,940,1923,0.0
0,258000.0,5,2.0,oil,2260,12500,1.0,poor,good,8,1130,1960,0.0
1,511000.0,3,1.0,gas,1430,3455,1.0,poor,average,7,980,1947,0.0
1,560000.0,3,1.0,oil,1110,5000,1.5,poor,average,7,1110,1947,0.0
1,215000.0,3,1.0,gas,1180,7669,1.0,poor,good,7,1180,1967,0.0
0,650000.0,5,3.5,electric,3960,25245,2.0,poor,average,9,2500,1996,0.0
1,320000.0,4,2.75,electric,2640,7500,1.0,poor,average,8,1620,1967,0.0
1,320000.0,4,1.75,electric,1760,11180,1.0,poor,good,8,1760,1968,0.0
1,255000.0,5,2.25,oil,2060,8632,1.0,poor,average,7,1030,1962,0.0
1,900000.0,3,2.5,oil,3400,16603,2.0,poor,average,10,3400,2000,0.0
0,441000.0,3,2.75,gas,1910,7280,1.0,poor,average,7,1160,1979,0.0
1,420000.0,3,2.0,electric,2020,38332,1.0,poor,good,7,1010,1975,0.0
1,269950.0,2,1.75,gas,1340,7250,1.0,poor,very good,5,700,1949,0.0
1,807100.0,4,2.5,oil,2680,4499,2.0,poor,average,9,2680,1999,0.0
1,272000.0,3,1.75,electric,2160,7140,1.0,poor,good,7,1670,1978,0.0
1,313000.0,3,1.5,electric,1340,7912,1.5,poor,average,7,1340,1955,0.0
0,673000.0,4,2.25,gas,2590,8190,2.0,poor,good,8,2590,1980,0.0
1,399950.0,5,2.75,oil,1970,5400,1.0,poor,average,7,1320,1986,0.0
1,330000.0,2,1.0,gas,1350,8220,1.0,poor,average,7,1060,1949,0.0
1,163500.0,2,1.5,oil,1050,3419,2.0,poor,average,7,1050,1996,0.0
0,1100000.0,5,3.0,gas,4090,12850,1.0,average,good,10,2090,1986,0.0
1,560000.0,3,2.5,oil,1900,8744,2.0,poor,average,8,1900,1987,0.0
1,585188.0,3,2.25,oil,2230,10026,1.0,poor,average,8,1430,1975,0.0
1,305000.0,3,1.75,gas,1650,9480,1.0,poor,average,7,1220,1977,0.0
1,166950.0,3,1.0,oil,1190,8820,1.0,poor,average,6,1190,1959,0.0
0,799000.0,3,2.5,gas,2140,9897,1.0,poor,good,8,2140,1959,0.0
1,230000.0,3,1.0,other,1060,10228,1.0,poor,average,7,1060,1948,0.0
1,465000.0,3,2.5,oil,2150,4084,2.0,poor,average,8,2150,2007,0.0
1,385000.0,3,1.75,oil,1350,155073,1.0,poor,good,7,1350,1969,0.0
1,210000.0,3,1.0,gas,860,11725,1.0,poor,good,6,860,1943,0.0
1,274250.0,3,1.0,gas,910,8450,1.0,poor,good,6,910,1962,0.0
1,677900.0,3,2.5,electric,2440,4587,2.0,poor,average,8,2440,2010,0.0
1,180250.0,2,0.75,gas,900,9600,1.0,poor,average,6,900,1941,0.0
0,464000.0,6,3.0,gas,2300,3404,2.0,poor,average,7,1600,1920,1994.0
1,625504.0,3,2.25,oil,1270,1566,2.0,poor,average,8,1060,2014,0.0
1,477000.0,4,2.75,electric,1720,6270,2.0,poor,average,8,1720,1978,0.0
0,1510000.0,5,3.0,gas,3300,33474,1.0,good,average,9,1870,1957,1991.0
1,445838.0,3,2.5,gas,2250,5692,2.0,poor,average,8,2250,2000,0.0
0,1070000.0,2,2.25,gas,3900,14864,1.0,good,average,8,1950,1947,0.0
1,467000.0,2,1.5,gas,1320,10800,1.0,poor,good,8,1320,1947,0.0
1,325000.0,3,2.25,other,2220,16020,1.0,poor,good,8,1780,1966,0.0
1,264950.0,4,2.25,electric,1720,9753,1.0,poor,good,7,1120,1978,0.0
1,235000.0,3,1.0,other,1430,15246,1.0,poor,good,7,980,1961,0.0
1,213000.0,2,1.0,oil,1000,10200,1.0,poor,average,6,1000,1961,0.0
1,416000.0,3,2.0,oil,2220,94300,1.0,poor,very good,7,1640,1976,0.0
1,410000.0,4,1.0,oil,1970,4740,1.5,poor,average,7,1670,1904,2005.0
0,800000.0,3,3.5,gas,3830,221284,2.0,poor,average,10,3530,1993,0.0
0,472000.0,6,2.5,oil,4410,14034,1.0,average,good,9,2350,1965,0.0
1,210000.0,2,1.0,oil,830,6000,1.0,poor,average,6,830,1940,0.0
1,455000.0,2,1.0,electric,1430,5000,1.5,poor,fair,7,1430,1925,0.0
1,363000.0,3,2.5,oil,2740,11872,2.0,poor,average,9,2740,1990,0.0
0,2400000.0,4,2.5,gas,3650,8354,1.0,very good,average,9,1830,2000,0.0
1,181000.0,2,1.5,oil,720,5120,1.0,poor,average,6,720,1954,0.0
1,481000.0,3,1.75,oil,1560,3000,1.0,poor,good,6,770,1918,0.0
0,455000.0,4,2.5,gas,3360,7685,2.0,poor,average,9,3360,2001,0.0
1,349500.0,3,1.0,oil,1400,3538,1.0,poor,average,7,800,1953,0.0
0,592500.0,2,2.0,gas,1420,9191,1.5,average,very good,7,1420,1928,0.0
1,255000.0,3,1.0,electric,1230,10170,1.0,poor,average,7,1230,1979,0.0
1,780000.0,3,1.0,gas,1660,4400,1.5,poor,average,8,1460,1911,0.0
1,525000.0,3,2.25,oil,2100,40510,2.0,poor,average,10,1320,1979,0.0
1,425000.0,2,1.0,gas,770,5040,1.0,poor,average,5,770,1930,0.0
0,369900.0,1,0.75,oil,760,10079,1.0,very good,very good,5,760,1936,0.0
1,415000.0,2,1.0,gas,1070,4500,1.0,poor,average,7,1070,1937,0.0
1,272500.0,3,2.5,oil,2070,9900,1.0,poor,average,8,1420,1979,0.0
1,210000.0,3,1.0,electric,1700,11390,1.0,poor,good,7,1700,1967,0.0
1,365000.0,3,2.5,gas,2653,4510,2.0,poor,average,8,2653,2006,0.0
0,770000.0,4,2.75,gas,3820,26300,2.0,poor,average,9,2850,2014,0.0
0,455000.0,4,2.5,gas,2210,49375,1.0,poor,average,8,2210,1997,0.0
